"jour","route_id","customer_id","client","heure_debut","heure_fin","note"
"Mardi","50027","303019","MAISON JACYNTHE INC","00:00:00","15:00:00",""
"Mardi","50008","302226","MARIE-CLAIRE B2B","00:00:00","14:15:00",
"Mardi","50024","145369","MARION DISTRIBUTION","00:00:00","15:15:00",
"Mardi","50001","145425","MARTECH","00:00:00","14:45:00",
"Mardi","50016","145496","MATCO PACKAGING INC","00:00:00","16:00:00",
"Mardi","50009","145898","MEDIATECH","00:00:00","15:30:00",""
"Mardi","50018","145915","MEDIQUE MEDICAL SUPPLIES ( MGBR ) INC","00:00:00","15:00:00",
"Mardi","55601","303085","MEGA VENTE D'ENTREPOT","00:00:00","13:30:00",
"Mardi","55609","302149","MES FOURNITURES.CA","00:00:00","13:00:00",
"Mardi","50011","101465","MESSAGERIES A.D.P  INC.","00:00:00","19:30:00",
"Mardi","50006","145969","MIDLAND TRANSPORT LIMITED","00:00:00","00:00:00","LIVRAISON"
"Mardi","50007","182019","NASRI  INTERNATIONAL INC","00:00:00","16:00:00",
"Mardi","50001","113300","NATIONEX","00:00:00","18:00:00",
"Mardi","50008","113300","NATIONEX","00:00:00","12:00:00",
"Mardi","50009","113300","NATIONEX","00:00:00","18:00:00",
"Mardi","50011","113300","NATIONEX","00:00:00","19:00:00",
"Mardi","50017","113300","NATIONEX","00:00:00","19:15:00",
"Mardi","50024","113300","NATIONEX","00:00:00","19:00:00",
"Mardi","50010","113300","NATIONEX","00:00:00","17:00:00",
"Mardi","50000","113300","NATIONEX","00:00:00","19:30:00",
"Mardi","50005","113300","NATIONEX","00:00:00","12:50:00",
"Mardi","50005","113300","NATIONEX","00:00:00","18:00:00",
"Mardi","50029","113300","NATIONEX","00:00:00","20:00:00",
"Mardi","50018","300618","NATIONEX BLAINVILLE","00:00:00","19:00:00",
"Mardi","50017","300618","NATIONEX BLAINVILLE","00:00:00","21:45:00",
"Mardi","50024","300618","NATIONEX BLAINVILLE","00:00:00","17:45:00",
"Mardi","50029","300620","NATIONEX DRUMMONDVILLE","00:00:00","16:45:00",
