"customer_id","client","route_ids","scheduled_pickup_days","days_at_or_below_100","percent_days_at_or_below_100","total_parcels_created","average_parcels_per_pickup_day","max_parcels_in_one_day","total_shipments_created","average_cubic_volume","volume_measured_parcels","average_weight","weight_measured_parcels","first_pickup_day","last_pickup_day"
"125388","FORMEDICA LTEE","50013","22","18","81.82","1673","76.05","111","759","2787.16","1609","11.15","1663","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"145898","MEDIATECH","50009","22","18","81.82","1388","63.09","118","542","2593.44","1168","32.87","1388","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303495","A1 IMPORTS","50024","22","18","81.82","1405","63.86","164","844","1748.35","1361","12.15","1405","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"129320","GRAND PRIX IMPORT","50011","22","17","77.27","1591","72.32","140","359","4248.82","1096","23.6","1591","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"303452","PARAMEDIC CANADA INC.","50017","22","17","77.27","1496","68","141","501","1876.78","1356","10.07","1452","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"145969","MIDLAND TRANSPORT LIMITED","50004 / 50018 / 50006 / 50018","22","17","77.27","1810","82.27","151","1011","2591.62","1671","26.01","1810","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"302180","LEADER AUTO RESSOURCE","50019","22","16","72.73","1742","79.18","134","755","1497.71","1656","15.94","1741","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"161402","SANI-MARC INC.","50029","22","16","72.73","1518","69","147","602","1546.9","1507","20.32","1607","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"131120","DISTRIBUTION HMH INC ","50014 / 50027","22","16","72.73","1791","81.41","193","1366","874.77","1715","16.45","1759","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"301022","GROUPE PHARMA","50001","22","16","72.73","1848","84","229","500","1763.69","1808","16.67","1848","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
"121395","ERGOGRIP","50005 / 50027","13","9","69.23","1064","81.85","130","228","2806.68","1681","15.82","1729","7/27/2026 12:00:00 AM","8/24/2026 12:00:00 AM"
"168070","LES ATTACHES VISCAN","50002","22","15","68.18","1655","75.23","142","914","1213.52","1579","42.49","1656","7/27/2026 12:00:00 AM","8/25/2026 12:00:00 AM"
